SampleID	Genomospecies	n	propGenomospecies
6744051	GS7	169	0.70124481327800825
6744052	GS1	11	0.029411764705882353
6744052	GS10	15	0.040106951871657755
6744052	GS11	3	0.008021390374331552
6744052	GS12	192	0.5133689839572193
6744052	GS14	8	0.0213903743315508
6744052	GS2	16	0.0427807486631016
6744052	GS3	6	0.016042780748663103
6744052	GS4	9	0.02406417112299465
6744052	GS6	5	0.013368983957219251
6744052	GS7	2	0.0053475935828877
6744052	GS8	87	0.232620320855615
6744052	GS9	20	0.053475935828877004
6744053	GS3	2	0.13333333333333333
6744053	GS6	7	0.4666666666666667
6744053	GS7	6	0.4
6744054	GS5	2	1
6744062	GS1	3	0.061224489795918366
6744062	GS2	2	0.04081632653061224
6744062	GS6	44	0.8979591836734694
6744063	GS1	191	0.08384547848990342
6744063	GS10	6	0.0026338893766461808
6744063	GS12	787	0.34547848990342406
6744063	GS13	6	0.0026338893766461808
6744063	GS14	966	0.4240561896400351
6744063	GS2	121	0.05311676909569798
6744063	GS3	19	0.008340649692712906
6744063	GS4	41	0.017998244073748903
6744063	GS5	38	0.016681299385425813
6744063	GS6	6	0.0026338893766461808
6744063	GS7	2	8.77963125548727e-4
6744063	GS8	91	0.03994732221246708
6744063	GS9	4	0.001755926251097454
6744064	GS1	29	0.01028368794326241
6744064	GS10	11	0.003900709219858156
6744064	GS3	12	0.00425531914893617
6744064	GS4	6	0.002127659574468085
6744064	GS5	51	0.018085106382978722
6744064	GS6	2706	0.9595744680851064
6744064	GS8	5	0.0017730496453900709
6744065	GS1	5	0.08333333333333333
6744065	GS12	2	0.03333333333333333
6744065	GS2	3	0.05
6744065	GS3	9	0.15
6744065	GS4	5	0.08333333333333333
6744065	GS6	33	0.55
6744065	GS7	3	0.05
6744066	GS1	18	0.060810810810810814
6744066	GS11	32	0.10810810810810811
6744066	GS12	84	0.28378378378378377
6744066	GS13	63	0.21283783783783783
6744066	GS14	70	0.23648648648648649
6744066	GS2	11	0.037162162162162164
6744066	GS6	6	0.02027027027027027
6744066	GS8	12	0.04054054054054054
6744067	GS1	64	0.043478260869565216
6744067	GS12	31	0.021059782608695652
6744067	GS13	5	0.0033967391304347825
6744067	GS2	11	0.007472826086956522
6744067	GS3	6	0.004076086956521739
6744067	GS4	8	0.005434782608695652
6744067	GS5	36	0.024456521739130436
6744067	GS6	1311	0.890625
6744068	GS1	651	0.3602656336469286
6744068	GS13	7	0.00387382401770891
6744068	GS2	6	0.003320420586607637
6744068	GS4	2	0.0011068068622025456
6744068	GS5	623	0.344770337576093
6744068	GS7	515	0.2850027670171555
6744068	GS8	3	0.0016602102933038186
6744069	GS1	3	1
6744071	GS1	2	0.3333333333333333
6744071	GS2	4	0.6666666666666666
6744072	GS1	317	0.3456924754634678
6744072	GS2	23	0.025081788440567066
6744072	GS3	4	0.004362050163576881
6744072	GS5	569	0.6205016357688113
6744072	GS6	4	0.004362050163576881
6744073	GS12	7	0.6363636363636364
6744073	GS2	4	0.36363636363636365
6744076	GS1	66	0.13721413721413722
6744076	GS12	22	0.04573804573804574
6744076	GS14	2	0.004158004158004158
6744076	GS3	25	0.05197505197505198
6744076	GS4	5	0.010395010395010396
6744076	GS5	21	0.04365904365904366
6744076	GS6	340	0.7068607068607069
6744077	GS14	7	1
