SampleID	Clade	n	propClade
6744015	C4	31	0.5081967213114754
6744015	C5	2	0.03278688524590164
6744015	C6	14	0.22950819672131148
6744016	C4	3	1
6744017	C3	4	0.4444444444444444
6744017	C4	3	0.3333333333333333
6744017	C6	2	0.2222222222222222
6744019	C4	2	1
6744020	C1	3515	0.5772704877648218
6744020	C2	618	0.10149449827557891
6744020	C3	28	0.004598456232550501
6744020	C4	1924	0.31597963540811297
6744020	C5	4	6.569223189357859e-4
6744022	C1	57	0.03372781065088758
6744022	C2	30	0.01775147928994083
6744022	C3	1279	0.7568047337278107
6744022	C4	109	0.06449704142011835
6744022	C5	163	0.09644970414201183
6744022	C6	52	0.03076923076923077
6744023	C1	1181	0.15445984828668585
6744023	C2	61	0.007978027726916035
6744023	C3	5352	0.6999738425320429
6744023	C4	35	0.004577556892492807
6744023	C5	992	0.1297410410672247
6744023	C6	25	0.003269683494637719
6744027	C4	3	1
6744028	C1	22	0.13496932515337423
6744028	C2	49	0.3006134969325153
6744028	C3	2	0.012269938650306749
6744028	C4	90	0.5521472392638037
6744031	C1	142	0.33569739952718675
6744031	C2	3	0.0070921985815602835
6744031	C3	99	0.23404255319148937
6744031	C4	176	0.4160756501182033
6744031	C5	3	0.0070921985815602835
6744033	C4	4	1
6744034	C3	3	1
6744036	C1	136	0.06273062730627306
6744036	C2	37	0.017066420664206643
6744036	C3	1664	0.7675276752767528
6744036	C4	107	0.04935424354243542
6744036	C5	201	0.09271217712177121
6744036	C6	23	0.010608856088560886
6744037	C2	5	0.03787878787878788
6744037	C3	25	0.1893939393939394
6744037	C4	16	0.12121212121212122
6744037	C5	86	0.6515151515151515
6744039	C4	5	1
6744041	C1	83	0.06264150943396227
6744041	C2	28	0.021132075471698115
6744041	C3	697	0.5260377358490566
6744041	C4	46	0.03471698113207547
6744041	C5	69	0.052075471698113204
6744041	C6	402	0.30339622641509434
6744042	C3	3	0.3
6744042	C4	7	0.7
6744043	C1	759	0.2856605193827625
6744043	C2	34	0.01279638690252164
6744043	C3	16	0.0060218291305984195
6744043	C4	1801	0.6778321415129845
6744043	C5	47	0.017689123071132858
6744044	C2	3	0.42857142857142855
6744044	C3	4	0.5714285714285714
6744045	C4	2	1
6744046	C1	385	0.1636904761904762
6744046	C2	172	0.07312925170068027
6744046	C3	1697	0.7215136054421769
6744046	C4	98	0.041666666666666664
6744049	C3	4	0.4444444444444444
6744049	C4	5	0.5555555555555556
6744050	C1	2	0.005291005291005291
6744050	C4	374	0.9894179894179894
6744050	C6	2	0.005291005291005291
6744051	C1	82	0.12166172106824925
6744051	C2	18	0.026706231454005934
6744051	C3	522	0.7744807121661721
6744051	C4	13	0.019287833827893175
6744051	C5	32	0.04747774480712166
6744051	C6	7	0.010385756676557863
6744052	C1	48	0.04498594189315839
6744052	C2	48	0.04498594189315839
6744052	C3	495	0.4639175257731959
6744052	C4	18	0.016869728209934397
6744052	C5	458	0.42924086223055297
6744053	C1	2	0.06060606060606061
6744053	C2	7	0.21212121212121213
6744053	C3	8	0.24242424242424243
6744053	C4	16	0.48484848484848486
6744054	C4	3	1
6744061	C4	3	1
6744062	C1	24	0.1791044776119403
6744062	C2	4	0.029850746268656716
6744062	C4	103	0.7686567164179104
6744062	C5	3	0.022388059701492536
6744063	C1	736	0.10932857991681522
6744063	C2	202	0.030005941770647655
6744063	C3	3043	0.45202020202020204
6744063	C4	403	0.05986333927510398
6744063	C5	2331	0.3462566844919786
6744063	C6	17	0.0025252525252525255
6744064	C1	82	0.009698403311649912
6744064	C2	102	0.012063867534003549
6744064	C3	18	0.0021289178001182734
6744064	C4	8253	0.9761088113542282
6744065	C1	12	0.09523809523809523
6744065	C2	22	0.1746031746031746
6744065	C3	20	0.15873015873015872
6744065	C4	68	0.5396825396825397
6744065	C5	2	0.015873015873015872
6744065	C6	2	0.015873015873015872
6744066	C1	93	0.09189723320158102
6744066	C2	101	0.09980237154150198
6744066	C3	315	0.31126482213438733
6744066	C4	29	0.02865612648221344
6744066	C5	262	0.25889328063241107
6744066	C6	212	0.20948616600790515
6744067	C1	189	0.05763952424519671
6744067	C2	24	0.007319304666056725
6744067	C3	5	0.0015248551387618177
6744067	C4	2997	0.9139981701738334
6744067	C5	59	0.01799329063738945
6744067	C6	5	0.0015248551387618177
6744068	C1	1639	0.3196801248293349
6744068	C2	5	9.752291788570314e-4
6744068	C3	1922	0.37487809635264285
6744068	C4	1554	0.3031012287887654
6744068	C6	7	0.001365320850399844
6744069	C1	5	0.5555555555555556
6744069	C5	4	0.4444444444444444
6744071	C1	9	1
6744072	C1	764	0.3666026871401152
6744072	C2	9	0.004318618042226488
6744072	C3	5	0.0023992322456813818
6744072	C4	1302	0.6247600767754319
6744072	C6	4	0.0019193857965451055
6744073	C1	4	0.125
6744073	C2	3	0.09375
6744073	C3	4	0.125
6744073	C4	4	0.125
6744073	C5	14	0.4375
6744073	C6	3	0.09375
6744076	C1	171	0.15267857142857144
6744076	C2	72	0.06428571428571428
6744076	C3	13	0.011607142857142858
6744076	C4	794	0.7089285714285715
6744076	C5	70	0.0625
6744077	C3	14	1
6744078	C1	29	0.004176267281105991
6744078	C3	838	0.12067972350230415
6744078	C4	8	0.001152073732718894
6744078	C5	6069	0.873991935483871
6744079	C1	387	0.6075353218210361
6744079	C2	28	0.04395604395604396
6744079	C3	2	0.0031397174254317113
6744079	C4	220	0.3453689167974882
6744080	C4	2	0.5
6744080	C5	2	0.5
6744081	C4	13	1
6744082	C4	8	1
6744083	C1	657	0.22188449848024316
6744083	C2	99	0.03343465045592705
6744083	C3	2135	0.7210401891252955
6744083	C4	39	0.013171225937183385
6744083	C5	12	0.004052684903748734
6744083	C6	19	0.006416751097602162
6744084	C1	3	0.06666666666666667
6744084	C3	16	0.35555555555555557
6744084	C4	22	0.4888888888888889
6744084	C5	4	0.08888888888888889
6744085	C1	22	0.7333333333333333
6744085	C2	3	0.1
6744085	C4	5	0.16666666666666666
6744089	C1	15	0.16129032258064516
6744089	C3	18	0.1935483870967742
6744089	C4	60	0.6451612903225806
6744090	C1	16	0.04
6744090	C2	17	0.0425
6744090	C3	339	0.8475
6744090	C4	13	0.0325
6744090	C5	15	0.0375
6744091	C4	3	1
6744093	C1	50	0.016784155756965426
6744093	C2	7	0.0023497818059751594
6744093	C3	17	0.005706612957368244
6744093	C4	2905	0.9751594494796911
6744096	C4	5	1
6744100	C1	25	0.3787878787878788
6744100	C2	9	0.13636363636363635
6744100	C3	19	0.2878787878787879
6744100	C4	2	0.030303030303030304
6744100	C5	11	0.16666666666666666
6744103	C1	971	0.5102469784550709
6744103	C2	95	0.049921177088807146
6744103	C3	823	0.4324750394114556
6744103	C4	4	0.0021019442984760903
6744103	C6	10	0.005254860746190226
6744104	C1	2	0.13333333333333333
6744104	C2	4	0.26666666666666666
6744104	C4	9	0.6
6744106	C1	208	0.11285946825827456
6744106	C2	578	0.31361909929462833
6744106	C3	2	0.0010851871947911015
6744106	C4	1055	0.5724362452523061
6744110	C1	31	0.27927927927927926
6744110	C2	4	0.036036036036036036
6744110	C4	76	0.6846846846846847
6744112	C4	11	1
6744113	C1	30	0.0702576112412178
6744113	C2	16	0.03747072599531616
6744113	C3	212	0.4964871194379391
6744113	C4	71	0.16627634660421545
6744113	C5	96	0.22482435597189696
6744113	C6	2	0.00468384074941452
6744115	C1	16	0.12030075187969924
6744115	C3	48	0.3609022556390977
6744115	C4	37	0.2781954887218045
6744115	C5	8	0.06015037593984962
6744115	C6	24	0.18045112781954886
6744117	C4	3	1
6744118	C1	11	0.02857142857142857
6744118	C2	2	0.005194805194805195
6744118	C3	14	0.03636363636363636
6744118	C4	4	0.01038961038961039
6744118	C5	354	0.9194805194805195
6744119	C3	11	0.6470588235294118
6744119	C5	6	0.35294117647058826
6744120	C3	73	1
6744123	C1	6481	0.7868155881995872
6744123	C2	1507	0.1829549593298531
6744123	C3	210	0.02549471895107442
6744123	C4	34	0.0041277164016025256
6744123	C5	3	3.642102707296346e-4
6744123	C6	2	2.428068471530897e-4
6744124	C1	4	0.11764705882352941
6744124	C2	11	0.3235294117647059
6744124	C3	2	0.058823529411764705
6744124	C4	15	0.4411764705882353
6744124	C5	2	0.058823529411764705
6744127	C1	5	0.23809523809523808
6744127	C2	3	0.14285714285714285
6744127	C4	4	0.19047619047619047
6744127	C5	9	0.42857142857142855
6744128	C4	2	0.4
6744128	C5	3	0.6
6744129	C3	2	1
6744130	C4	2	1
6744132	C2	3	0.2727272727272727
6744132	C3	8	0.7272727272727273
6744135	C1	7	0.07216494845360824
6744135	C2	13	0.13402061855670103
6744135	C3	5	0.05154639175257732
6744135	C4	13	0.13402061855670103
6744135	C5	59	0.6082474226804123
6744136	C1	1599	0.42357615894039735
6744136	C2	175	0.046357615894039736
6744136	C3	21	0.005562913907284768
6744136	C4	1980	0.5245033112582781
6744137	C4	48	0.7058823529411765
6744137	C6	20	0.29411764705882354
6744138	C1	4	0.16666666666666666
6744138	C4	20	0.8333333333333334
6744143	C3	8	0.8
6744143	C4	2	0.2
6744145	C4	3	1
6744147	C2	69	0.17293233082706766
6744147	C3	183	0.45864661654135336
6744147	C4	62	0.15538847117794485
6744147	C5	28	0.07017543859649122
6744147	C6	57	0.14285714285714285
6744149	C1	18	0.20454545454545456
6744149	C4	68	0.7727272727272727
6744149	C5	2	0.022727272727272728
6744150	C3	6	0.16666666666666666
6744150	C4	28	0.7777777777777778
6744150	C5	2	0.05555555555555555
6744153	C1	3	1
6744155	C1	85	0.8947368421052632
6744155	C2	5	0.05263157894736842
6744155	C4	5	0.05263157894736842
6744158	C4	15	0.7142857142857143
6744158	C5	6	0.2857142857142857
6744159	C1	2	0.08695652173913043
6744159	C3	5	0.21739130434782608
6744159	C4	16	0.6956521739130435
6744160	C1	469	0.26318742985409654
