SampleID	Clade	n	propClade
4007435248	C6	174	0.008737571557698103
4007435258	C1	24	0.11483253588516747
4007435258	C3	1	0.004784688995215311
4007435258	C4	177	0.84688995215311
4007435258	C5	3	0.014354066985645933
4007435258	C6	4	0.019138755980861243
4007535198	C1	238	0.99581589958159
4007535198	C2	1	0.0041841004184100415
4007535358	C1	6459	0.6052286356821589
4007535358	C2	4174	0.3911169415292354
4007535358	C3	8	7.496251874062968e-4
4007535358	C4	18	0.001686656671664168
4007535358	C6	13	0.0012181409295352324
4008435158	C1	4311	0.36033099297893684
4008435158	C2	630	0.05265797392176529
4008435158	C3	6849	0.5724674022066198
4008435158	C4	173	0.01446004680708793
4008435158	C6	1	8.358408559010364e-5
4008435348	C1	42	0.2048780487804878
4008435348	C2	16	0.07804878048780488
4008435348	C3	1	0.004878048780487805
4008435348	C4	146	0.7121951219512195
4008435358	C4	2	1
4009035168	C1	2717	0.0985348516718648
4009035168	C2	898	0.03256691085805469
4009035168	C3	462	0.016754914049466888
4009035168	C4	21853	0.7925219409588743
4009035168	C5	21	7.61587002248495e-4
4009035168	C6	1623	0.05885979545949083
4009035268	C1	4295	0.0836335313017233
4009035268	C2	23311	0.4539188005062798
4009035268	C3	426	0.008295200077889203
4009035268	C4	23320	0.45409405121215074
4009035268	C6	3	5.841690195696622e-5
4009035368	C1	4941	0.3271535456531815
4009035368	C2	5598	0.37065483678739325
4009035368	C3	92	0.00609150499900682
4009035368	C4	4472	0.29610011256041846
4009835178	C1	659	0.041509196271101036
4009835178	C2	276	0.017384731670445956
4009835178	C3	14887	0.9377047115142353
4009835178	C4	15	9.44822373393802e-4
4009835178	C5	37	0.002330561854371378
4009835178	C6	2	1.2597631645250694e-4
4009835228	C1	196	0.038704581358609796
4009835228	C2	231	0.04561611374407583
4009835228	C3	4538	0.8961295418641391
4009835228	C4	12	0.002369668246445498
4009835228	C5	85	0.016785150078988943
4009835228	C6	2	3.9494470774091627e-4
4009835268	C1	92	0.017993350283590847
4009835268	C2	142	0.0277723450029337
4009835268	C3	4866	0.9516917660864463
4009835268	C4	8	0.0015646391550948563
4009835268	C5	4	7.823195775474281e-4
4009835268	C6	1	1.9557989438685703e-4
